Date,Channel,Campaign_Name,Device_Type,Geography,Traffic_Source,User_Type,Sessions,Unique_Visitors,Page_Views,Bounce_Rate,Average_Session_Duration,Conversion_Rate,Conversions,Cost,Revenue,ROI,Exit_Rate
21-01-2024,Direct,Holiday_Special,Tablet,Japan,Email Newsletter,New Visitor,84,63,245,0.26,2.16,0.06,5,5.68,690.87,120.54,0.19
21-01-2024,Direct,Welcome_Series,Mobile,Canada,LinkedIn,Returning Visitor,66,47,224,0.21,6.06,0.07,4,4.97,554.11,110.42,0.15
21-01-2024,Email Campaigns,Remarketing,Desktop,Brazil,Instagram,New Visitor,85,63,130,0.31,3.09,0.07,5,39.7,362.02,8.12,0.27
21-01-2024,Referral,Holiday_Special,Tablet,UK,Direct,New Visitor,54,47,223,0.47,3.76,0.03,1,20.97,75.33,2.59,0.39
21-01-2024,Paid Ads,Holiday_Special,Mobile,Canada,Google,New Visitor,269,189,766,0.45,3.23,0.03,7,478.41,851.39,0.78,0.34
21-01-2024,Paid Ads,Welcome_Series,Mobile,Australia,Instagram,New Visitor,288,260,564,0.38,3.02,0.02,6,547.58,648.13,0.18,0.33
21-01-2024,Organic Search,Summer_Sale,Tablet,Japan,Google,New Visitor,546,464,2176,0.35,5.17,0.02,11,138.87,1198.93,7.63,0.3
21-01-2024,Social Media,Welcome_Series,Mobile,France,Bing,New Visitor,164,104,351,0.47,4.05,0.01,1,221.36,87.05,-0.61,0.4
21-01-2024,Paid Ads,Summer_Sale,Desktop,Japan,Instagram,Returning Visitor,129,99,386,0.53,1.71,0.04,5,365.01,532.91,0.46,0.38
21-01-2024,Organic Search,Spring_Collection,Tablet,Canada,Google,Returning Visitor,443,401,1390,0.44,3.83,0.01,4,80.16,425.46,4.31,0.38
21-01-2024,Social Media,Holiday_Special,Mobile,Australia,Google,Returning Visitor,269,250,491,0.51,1.47,0.03,9,248.73,532.41,1.14,0.43
21-01-2024,Referral,None,Mobile,USA,Google,Returning Visitor,34,24,81,0.51,2.45,0.04,1,12.39,85.59,5.91,0.45
21-01-2024,Social Media,Spring_Collection,Desktop,UK,Facebook,Returning Visitor,239,148,865,0.56,3.49,0.03,6,337.54,488.34,0.45,0.45
21-01-2024,Social Media,Summer_Sale,Desktop,USA,Bing,Returning Visitor,147,126,329,0.5,3.69,0.02,2,178.75,186.61,0.04,0.38
21-01-2024,Social Media,Remarketing,Desktop,Brazil,Email Newsletter,Returning Visitor,185,160,542,0.43,1.61,0.03,5,213.71,311.2,0.46,0.33
21-01-2024,Referral,Black_Friday,Tablet,Germany,Email Newsletter,Returning Visitor,88,54,202,0.5,3.64,0.03,2,43.98,237.93,4.41,0.37
21-01-2024,Social Media,Summer_Sale,Desktop,UK,Email Newsletter,Returning Visitor,128,79,579,0.43,1.41,0.02,2,107.41,191.88,0.79,0.3
22-01-2024,Referral,None,Desktop,USA,Email Newsletter,New Visitor,45,40,193,0.3,4.08,0.05,2,9.98,202.32,19.28,0.22
22-01-2024,Organic Search,Remarketing,Tablet,Canada,Twitter,New Visitor,401,373,507,0.36,1.35,0.01,4,101.15,259.09,1.56,0.28
22-01-2024,Paid Ads,Summer_Sale,Tablet,Brazil,Bing,New Visitor,398,296,1012,0.33,5.21,0.05,19,969.2,1764.29,0.82,0.25
22-01-2024,Organic Search,Summer_Sale,Tablet,Canada,Email Newsletter,New Visitor,787,569,1257,0.42,3.15,0.02,12,83.37,1121.82,12.46,0.31
22-01-2024,Social Media,Black_Friday,Tablet,Brazil,Email Newsletter,Returning Visitor,282,266,1094,0.62,0.81,0.03,9,285.77,517.21,0.81,0.47
22-01-2024,Paid Ads,Remarketing,Tablet,UK,Google,Returning Visitor,123,81,537,0.31,1.8,0.02,2,197.63,273.69,0.39,0.26
22-01-2024,Paid Ads,Summer_Sale,Desktop,USA,Bing,Returning Visitor,483,441,2040,0.37,4.17,0.04,19,767.57,1736.77,1.26,0.32
22-01-2024,Organic Search,Welcome_Series,Tablet,USA,LinkedIn,Returning Visitor,541,509,2243,0.34,4.98,0.03,16,85.19,1220.72,13.33,0.26
22-01-2024,Paid Ads,Summer_Sale,Tablet,UK,Facebook,Returning Visitor,164,143,613,0.37,5.04,0.05,7,264.28,1012.29,2.83,0.32
22-01-2024,Organic Search,Remarketing,Mobile,Japan,Email Newsletter,Returning Visitor,298,272,1387,0.49,1.45,0.01,4,43.1,294.93,5.84,0.35
22-01-2024,Social Media,Black_Friday,Desktop,France,Twitter,New Visitor,99,61,188,0.58,1.92,0.03,3,86.14,206.55,1.4,0.51
22-01-2024,Direct,Welcome_Series,Mobile,France,LinkedIn,New Visitor,96,88,464,0.22,3.16,0.07,6,10.92,953.97,86.39,0.18
22-01-2024,Referral,Spring_Collection,Mobile,Japan,Email Newsletter,Returning Visitor,83,66,273,0.29,3.5,0.04,3,40.37,347.7,7.61,0.26
22-01-2024,Email Campaigns,Holiday_Special,Mobile,USA,Google,Returning Visitor,61,49,92,0.21,2.29,0.06,3,38.43,379.04,8.86,0.15
22-01-2024,Referral,Spring_Collection,Tablet,Australia,Facebook,New Visitor,62,54,208,0.5,1.36,0.04,2,13.32,188.24,13.13,0.44
22-01-2024,Organic Search,Remarketing,Tablet,France,Email Newsletter,New Visitor,335,273,1222,0.42,1.75,0.01,4,35.09,332.48,8.47,0.35
22-01-2024,Social Media,Welcome_Series,Mobile,Brazil,Facebook,New Visitor,283,187,1351,0.51,0.99,0.02,5,350.32,337.95,-0.04,0.38
22-01-2024,Paid Ads,Holiday_Special,Tablet,Japan,LinkedIn,Returning Visitor,286,236,402,0.49,2.78,0.04,11,767.84,1342.57,0.75,0.39
22-01-2024,Paid Ads,Welcome_Series,Desktop,France,Instagram,Returning Visitor,233,184,338,0.31,1.49,0.04,8,472.99,846.08,0.79,0.25
22-01-2024,Email Campaigns,Summer_Sale,Tablet,Canada,Direct,Returning Visitor,135,108,307,0.28,3.2,0.03,4,41.41,494.12,10.93,0.2
22-01-2024,Organic Search,Spring_Collection,Desktop,Canada,Google,New Visitor,709,514,2505,0.42,4.48,0.02,11,86.57,1232.47,13.24,0.35
22-01-2024,Paid Ads,Remarketing,Tablet,Brazil,Google,Returning Visitor,147,133,713,0.53,1.88,0.03,5,350.34,483.92,0.38,0.38
22-01-2024,Social Media,Remarketing,Tablet,UK,Instagram,Returning Visitor,138,115,572,0.68,2.31,0.03,4,164.09,251.06,0.53,0.49
22-01-2024,Paid Ads,Holiday_Special,Desktop,Australia,Direct,New Visitor,362,324,1749,0.31,2.43,0.02,7,1027.49,985.22,-0.04,0.27
22-01-2024,Organic Search,Black_Friday,Tablet,Canada,Google,Returning Visitor,587,521,1100,0.43,3.82,0.01,7,168.11,437.96,1.61,0.38
22-01-2024,Social Media,None,Tablet,Australia,Instagram,Returning Visitor,176,143,472,0.41,4.03,0.02,3,172.23,186.13,0.08,0.32
22-01-2024,Email Campaigns,Summer_Sale,Tablet,UK,Instagram,New Visitor,69,54,150,0.21,4.06,0.05,3,32.2,240.97,6.48,0.16
22-01-2024,Paid Ads,Spring_Collection,Desktop,Canada,Instagram,New Visitor,253,225,406,0.34,2.52,0.04,9,637.04,1184.49,0.86,0.3
22-01-2024,Social Media,Summer_Sale,Tablet,Japan,Twitter,Returning Visitor,297,198,670,0.68,1.42,0.02,5,287.6,429.64,0.49,0.61
22-01-2024,Email Campaigns,Remarketing,Mobile,Brazil,Bing,New Visitor,77,51,364,0.4,3.62,0.04,2,49.56,145.03,1.93,0.28
22-01-2024,Direct,Spring_Collection,Tablet,Germany,Instagram,Returning Visitor,123,73,420,0.37,4.18,0.06,7,15.55,805.63,50.82,0.3
22-01-2024,Email Campaigns,Remarketing,Mobile,UK,Google,New Visitor,82,76,165,0.23,4.79,0.04,3,62.99,324.67,4.15,0.2
22-01-2024,Social Media,Black_Friday,Desktop,France,Bing,New Visitor,102,93,146,0.61,2.42,0.02,2,125.57,166.13,0.32,0.51
22-01-2024,Organic Search,Welcome_Series,Desktop,Canada,Bing,Returning Visitor,527,383,1357,0.33,2.09,0.03,14,104.6,1049.3,9.03,0.27
22-01-2024,Organic Search,Remarketing,Desktop,Canada,Facebook,New Visitor,688,466,1664,0.24,2.29,0.03,17,178.71,1448.19,7.1,0.18
22-01-2024,Email Campaigns,Summer_Sale,Desktop,France,Instagram,Returning Visitor,164,143,416,0.32,1.82,0.05,8,54.18,826.89,14.26,0.25
22-01-2024,Direct,Black_Friday,Desktop,UK,Facebook,Returning Visitor,97,74,231,0.26,5.23,0.06,5,4.98,720.7,143.84,0.23
23-01-2024,Direct,Welcome_Series,Tablet,UK,Facebook,Returning Visitor,103,96,400,0.33,2.32,0.04,4,9,429.39,46.69,0.27
23-01-2024,Paid Ads,Welcome_Series,Tablet,USA,Email Newsletter,New Visitor,218,138,1074,0.49,1.45,0.04,9,378.77,1316.28,2.48,0.34
23-01-2024,Organic Search,Summer_Sale,Tablet,Canada,Direct,Returning Visitor,666,489,1495,0.39,3.36,0.01,9,194.35,616.02,2.17,0.31
23-01-2024,Email Campaigns,Black_Friday,Mobile,Canada,Bing,New Visitor,50,43,172,0.32,3.55,0.05,2,17.81,255.34,13.34,0.24
23-01-2024,Email Campaigns,Black_Friday,Tablet,Australia,Direct,Returning Visitor,82,59,340,0.2,5.74,0.07,5,58.15,502.12,7.63,0.16
23-01-2024,Referral,None,Mobile,Australia,Google,New Visitor,74,68,222,0.33,4.85,0.03,2,31.95,195.93,5.13,0.29
23-01-2024,Organic Search,Welcome_Series,Tablet,Germany,Bing,Returning Visitor,338,234,1290,0.34,3.7,0.01,4,42.83,418.84,8.78,0.29
23-01-2024,Paid Ads,Black_Friday,Desktop,Germany,Facebook,Returning Visitor,447,270,1062,0.48,3.49,0.02,9,990.86,937.93,-0.05,0.4
23-01-2024,Direct,None,Mobile,Australia,Instagram,Returning Visitor,63,38,310,0.27,5.19,0.05,2,7.26,241.28,32.22,0.24
23-01-2024,Referral,Remarketing,Mobile,France,Bing,New Visitor,73,64,274,0.51,3.22,0.05,3,16,362.25,21.64,0.38
23-01-2024,Organic Search,Remarketing,Mobile,Brazil,Instagram,Returning Visitor,435,262,1689,0.41,1.6,0.03,12,63.03,1428.71,21.67,0.34
23-01-2024,Referral,Welcome_Series,Desktop,USA,Direct,Returning Visitor,30,21,88,0.25,1.63,0.03,0,11.92,0,-1,0.21
23-01-2024,Paid Ads,Welcome_Series,Mobile,Canada,Google,New Visitor,308,204,798,0.45,3.89,0.03,8,509.28,652.01,0.28,0.38
23-01-2024,Direct,Remarketing,Desktop,USA,LinkedIn,New Visitor,52,31,142,0.38,1.77,0.07,3,3.37,290.49,85.13,0.3
23-01-2024,Direct,Holiday_Special,Tablet,Germany,Email Newsletter,New Visitor,138,112,167,0.33,4.86,0.07,9,11.19,1413.88,125.3,0.29
23-01-2024,Paid Ads,Welcome_Series,Mobile,Japan,Email Newsletter,New Visitor,467,316,941,0.43,2.99,0.05,22,1261.47,3268.14,1.59,0.36
23-01-2024,Referral,Black_Friday,Desktop,France,LinkedIn,New Visitor,30,21,35,0.31,2.15,0.04,1,10.79,91.22,7.46,0.27
23-01-2024,Organic Search,Black_Friday,Desktop,UK,Email Newsletter,New Visitor,541,451,2600,0.25,2.9,0.01,7,125.96,663.07,4.26,0.2
23-01-2024,Organic Search,Remarketing,Desktop,UK,Bing,Returning Visitor,744,532,1241,0.41,2.88,0.02,17,207.14,1240.19,4.99,0.36
23-01-2024,Social Media,Welcome_Series,Tablet,Canada,LinkedIn,New Visitor,138,88,484,0.47,3.63,0.01,1,137.33,82.68,-0.4,0.35
23-01-2024,Referral,Remarketing,Tablet,Brazil,LinkedIn,New Visitor,31,23,150,0.33,2.44,0.04,1,14.45,87.49,5.06,0.3
23-01-2024,Referral,Summer_Sale,Mobile,USA,Facebook,New Visitor,81,75,170,0.54,2.11,0.03,2,37.67,195.09,4.18,0.42
23-01-2024,Email Campaigns,None,Mobile,USA,Email Newsletter,New Visitor,89,68,430,0.19,3.58,0.06,5,66.74,395.27,4.92,0.15
23-01-2024,Email Campaigns,Summer_Sale,Tablet,UK,Google,New Visitor,80,48,157,0.22,3.11,0.05,3,37.41,316.61,7.46,0.16
23-01-2024,Paid Ads,None,Mobile,Brazil,Twitter,Returning Visitor,461,289,1269,0.45,3.23,0.03,13,1250.55,1517.85,0.21,0.37
23-01-2024,Email Campaigns,Summer_Sale,Tablet,Australia,Google,New Visitor,65,60,274,0.36,1.56,0.04,2,40.18,252.43,5.28,0.31
24-01-2024,Social Media,Black_Friday,Desktop,Brazil,Direct,Returning Visitor,159,109,334,0.41,1.57,0.03,4,133.11,328.7,1.47,0.36
24-01-2024,Paid Ads,Remarketing,Desktop,Germany,Email Newsletter,Returning Visitor,213,144,512,0.45,3.82,0.04,8,636.06,1196.55,0.88,0.39
24-01-2024,Organic Search,Holiday_Special,Tablet,UK,Google,Returning Visitor,618,419,1609,0.47,1.72,0.03,17,147.01,1148.25,6.81,0.37
24-01-2024,Organic Search,Holiday_Special,Mobile,USA,LinkedIn,New Visitor,237,171,855,0.27,4.96,0.01,3,33.08,248.79,6.52,0.22
24-01-2024,Paid Ads,None,Tablet,Canada,Email Newsletter,Returning Visitor,377,281,1496,0.58,1.44,0.02,8,674.52,1096.74,0.63,0.52
24-01-2024,Email Campaigns,Black_Friday,Desktop,Germany,Twitter,Returning Visitor,89,81,262,0.36,4.03,0.06,5,57.11,505.91,7.86,0.3
24-01-2024,Organic Search,Spring_Collection,Mobile,France,Direct,Returning Visitor,645,588,1492,0.38,2.99,0.02,11,82.66,1110.55,12.44,0.33
